body, x, y, z
sun,-0.0000,-0.0000,0.0000
jupiter,4.8473,-1.1322,-0.1039
saturn,8.3332,4.1430,-0.4034
uranus,12.9052,-15.1025,-0.2234
neptune,15.3895,-25.9134,0.1789
sun,-0.0000,-0.0001,0.0000
jupiter,4.8531,-1.1040,-0.1041
saturn,8.3230,4.1613,-0.4033
uranus,12.9160,-15.0938,-0.2235
neptune,15.3993,-25.9074,0.1786
sun,-0.0000,-0.0001,0.0000
jupiter,4.8587,-1.0757,-0.1044
saturn,8.3128,4.1794,-0.4033
uranus,12.9268,-15.0850,-0.2236
neptune,15.4091,-25.9015,0.1782
sun,-0.0000,-0.0001,0.0000
jupiter,4.8641,-1.0475,-0.1046
saturn,8.3025,4.1976,-0.4032
uranus,12.9376,-15.0763,-0.2237
neptune,15.4188,-25.8955,0.1779
sun,-0.0000,-0.0002,0.0000
jupiter,4.8694,-1.0192,-0.1048
saturn,8.2922,4.2158,-0.4031
uranus,12.9484,-15.0676,-0.2238
neptune,15.4286,-25.8895,0.1775
sun,-0.0000,-0.0002,0.0000
jupiter,4.8746,-0.9909,-0.1051
saturn,8.2819,4.2339,-0.4030
uranus,12.9592,-15.0589,-0.2240
neptune,15.4384,-25.8836,0.1772
sun,-0.0000,-0.0002,0.0000
jupiter,4.8795,-0.9625,-0.1053
saturn,8.2715,4.2520,-0.4029
uranus,12.9700,-15.0501,-0.2241
neptune,15.4482,-25.8776,0.1768
sun,-0.0000,-0.0003,0.0000
jupiter,4.8843,-0.9341,-0.1055
saturn,8.2610,4.2701,-0.4028
uranus,12.9808,-15.0414,-0.2242
neptune,15.4579,-25.8716,0.1765
sun,-0.0000,-0.0003,0.0000
jupiter,4.8890,-0.9057,-0.1057
saturn,8.2506,4.2882,-0.4027
uranus,12.9915,-15.0326,-0.2243
neptune,15.4677,-25.8656,0.1761
sun,-0.0000,-0.0003,0.0000
jupiter,4.8935,-0.8772,-0.1060
saturn,8.2401,4.3062,-0.4026
uranus,13.0023,-15.0239,-0.2244
neptune,15.4775,-25.8596,0.1758
sun,-0.0000,-0.0004,0.0000
jupiter,4.8979,-0.8487,-0.1062
saturn,8.2295,4.3243,-0.4025
uranus,13.0130,-15.0151,-0.2245
neptune,15.4873,-25.8537,0.1754
sun,-0.0000,-0.0004,0.0000
jupiter,4.9020,-0.8202,-0.1064
saturn,8.2189,4.3423,-0.4024
uranus,13.0238,-15.0063,-0.2246
neptune,15.4970,-25.8477,0.1751
sun,-0.0000,-0.0004,0.0000
jupiter,4.9061,-0.7917,-0.1066
saturn,8.2083,4.3603,-0.4022
uranus,13.0345,-14.9975,-0.2247
neptune,15.5068,-25.8417,0.1747
sun,-0.0000,-0.0005,0.0000
jupiter,4.9100,-0.7631,-0.1068
saturn,8.1976,4.3782,-0.4021
uranus,13.0453,-14.9887,-0.2248
neptune,15.5165,-25.8357,0.1744
sun,-0.0000,-0.0005,0.0000
jupiter,4.9137,-0.7346,-0.1070
saturn,8.1869,4.3962,-0.4020
uranus,13.0560,-14.9799,-0.2249
neptune,15.5263,-25.8297,0.1740
sun,-0.0000,-0.0005,0.0000
jupiter,4.9172,-0.7060,-0.1072
saturn,8.1761,4.4141,-0.4019
uranus,13.0667,-14.9711,-0.2250
neptune,15.5360,-25.8237,0.1737
sun,-0.0000,-0.0006,0.0000
jupiter,4.9206,-0.6773,-0.1074
saturn,8.1653,4.4320,-0.4018
uranus,13.0774,-14.9623,-0.2251
neptune,15.5458,-25.8176,0.1733
sun,-0.0000,-0.0006,0.0000
jupiter,4.9239,-0.6487,-0.1076
saturn,8.1545,4.4499,-0.4017
uranus,13.0882,-14.9535,-0.2252
neptune,15.5556,-25.8116,0.1730
sun,-0.0000,-0.0006,0.0000
jupiter,4.9270,-0.6200,-0.1078
saturn,8.1436,4.4677,-0.4015
uranus,13.0989,-14.9447,-0.2253
neptune,15.5653,-25.8056,0.1727
sun,-0.0000,-0.0007,0.0000
jupiter,4.9299,-0.5913,-0.1080
saturn,8.1327,4.4856,-0.4014
uranus,13.1096,-14.9358,-0.2255
neptune,15.5750,-25.7996,0.1723
sun,-0.0000,-0.0007,0.0000
jupiter,4.9327,-0.5626,-0.1081
saturn,8.1217,4.5034,-0.4013
uranus,13.1202,-14.9270,-0.2256
neptune,15.5848,-25.7936,0.1720
sun,-0.0000,-0.0007,0.0000
jupiter,4.9353,-0.5339,-0.1083
saturn,8.1107,4.5212,-0.4012
uranus,13.1309,-14.9181,-0.2257
neptune,15.5945,-25.7875,0.1716
sun,-0.0000,-0.0008,0.0000
jupiter,4.9377,-0.5051,-0.1085
saturn,8.0997,4.5389,-0.4010
uranus,13.1416,-14.9093,-0.2258
neptune,15.6043,-25.7815,0.1713
sun,-0.0000,-0.0008,0.0000
jupiter,4.9400,-0.4764,-0.1087
saturn,8.0886,4.5567,-0.4009
uranus,13.1523,-14.9004,-0.2259
